split,seed,n_val,num_classes,train_s,accuracy,macro_f1,balanced_accuracy
random,42,89488,170,6.6,0.792810209190059,0.6066085175656976,0.6224626856129668
random,43,89488,170,6.3,0.7943299660289648,0.5905958582638672,0.6119306304572704
random,44,89488,170,6.4,0.7957938494546755,0.6350968019435981,0.6633139904589134
random,45,89488,170,6.4,0.7950227963525835,0.6056356571145212,0.6260073345896519
random,46,89488,170,6.5,0.7958161988199535,0.6124924916562025,0.6339888027239718
group_sentence,42,52468,170,7.4,0.7038385301517115,0.3293716511005956,0.4603174603174603
group_sentence,43,103891,170,6.2,0.4706374950669452,0.23012582596366266,0.3593675828379077
group_sentence,44,170192,170,4.6,0.3536652721632039,0.31773405744730543,0.46773460743650247
group_sentence,45,119678,170,5.8,0.5125002088938652,0.27868633532956055,0.3828021901917945
group_sentence,46,93362,170,6.4,0.5429939375763159,0.2721395738924295,0.38981827569579136
